tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1386575742318874628,aqramist,2021-04-26 06:59:52+00:00,en,Daniel Kaluuya is the 10th Black male to win in a best acting category) #oscars https://t.co/hkYeke8skN,positive,0.8206852674484253
1386575717807296512,StephanieNneoma,2021-04-26 06:59:47+00:00,en,"“when they say divide and conquer, we say unite and ascend” big congrats to Daniel Kaluuya",positive,0.9641293287277222
1386575602677858306,CrackDenEnjoyer,2021-04-26 06:59:19+00:00,en,@Liepollo9 Daniel Kaluuya won an Oscar though and last time I checked he's black,neutral,0.698785126209259
1386575600450744321,jumyrubi,2021-04-26 06:59:19+00:00,en,Congratulations to Daniel Kaluuya. You desaff if baby,positive,0.9669901728630066
1386575588996046848,ladona25,2021-04-26 06:59:16+00:00,en,Please follow my business page on IG  We cater for all your fragrance needs https://t.co/lFXtj0RrZp  Anthony Hopkins Happy New Week Chadwick Daniel Kaluuya #AbujaTwitterCommunity #Oscars #MondayMotivation @real_mercyeke https://t.co/J4Xv4XGozM,positive,0.9182021021842957
1386575441775968257,regular_art,2021-04-26 06:58:41+00:00,en,how was Daniel Kaluuya the support actor in the movie he starred in lol.. who was the lead then?,neutral,0.8865006566047668
1386575398482366464,Liepollo9,2021-04-26 06:58:30+00:00,en,"And on a HAPPIER note, the Afrikan family got a fantastic win from my boy #DanielKaluuya who was mesmerising in #BlackMessiah. This made my day #blackexcellence",positive,0.9890851378440857
1386479634129248257,ABC,2021-04-26 00:37:58+00:00,en,"What a man.  Daniel Kaluuya remembers Fred Hampton in his acceptance speech: ""How blessed we are that we lived in a lifetime where he existed...When they played divide and conquer, we say unite and ascend."" https://t.co/sdgeoBK7lX #Oscars https://t.co/T58yZO1Bq7",positive,0.9428949356079102
1386575391851229185,La_ashaXrose,2021-04-26 06:58:29+00:00,en,One of the greatest privileges of my fangirl career has been seeing the #skinsuk cast thrive! So happy for Daniel Kaluuya!! #Oscars,positive,0.9899711012840271
1386575337262256128,sayfffffffff,2021-04-26 06:58:16+00:00,en,"No wonder that man Dan Kaluuya won the #Oscars When he gave that Fred  Hampton revolutionary speech in the movie, I, A brown man from Bangladesh suffering from different struggles altogether, had tears in my eyes. #DanielKaluuya",positive,0.884872555732727
1386575328647262210,ianyoungkop,2021-04-26 06:58:14+00:00,en,Made up for #DanielKaluuya. One of my favourite actors today. Every performance is perfect. https://t.co/NOaJK1t9Yl,positive,0.9858604669570923
1386575056545878017,BruceMcCarthy15,2021-04-26 06:57:09+00:00,en,Oscars 2021: Nomadland nobody gives a damn! Pointless backscratching! sweeps the Academy Awards - with big wins for British stars Daniel Kaluuya and Emerald Fennell https://t.co/568B8GczUU https://t.co/Yay008IqvB,positive,0.48507553339004517
1386575054578720768,pinkvilla,2021-04-26 06:57:08+00:00,en,"#Oscars 2021 Highlights: #AnthonyHopkins wins over #ChadwickBoseman , #YounYuhJung pokes fun at #BradPitt &amp; #DanielKaluuya 's speech #Oscars2021  https://t.co/75Hju5EH82 https://t.co/DBeMf6cuqV",positive,0.822065532207489
1386574992809287686,OnClaudeN9ne,2021-04-26 06:56:54+00:00,en,Daniel Kaluuya’s trajectory has been incredible. So proud of him.,positive,0.9848814010620117
1386574877319127042,judeblay,2021-04-26 06:56:26+00:00,en,"Hey guys, I don't know if you've seen it but I wrote a review for Judas &amp; The Black Messiah, the award winning film that Daniel Kaluuya just won an Oscar for best supporting actor. Check it out: https://t.co/KIT01WIP8B",positive,0.749081015586853
1386574806376611841,DaLeewoke,2021-04-26 06:56:09+00:00,en,I guess she got tired of they Bull ish  #Oscars #AcademyAwards2021 #AcademyAwards #AndraDay #awards #awesome #DanielKaluuya Andra Day called out the Academy at the Oscars -- and got censored https://t.co/0lDp9yN8ed https://t.co/yyryPgJ8oj,positive,0.5032539367675781
1386574799347068930,yesitsangeldee,2021-04-26 06:56:08+00:00,en,"I’m so happy that Daniel Kaluuya won and this vitriol against him as he won over Chadwick needs to stop. Both actors deserved the trophy, putting them against each other is yukky.  May Chadwick continue to rest in peace 💜 https://t.co/GS8s7FYAnr",positive,0.8692483305931091
1386574681927454723,DNyeko,2021-04-26 06:55:40+00:00,en,Daniel  Kaluuya 's mother Damali Namusoke  nearly jumps out of her skin after the #Oscars  winner tells a sex joke about her. Images of her perplexed  face-and of  his sister hiding her own face in her hands  began to make rounds on social  media. https://t.co/Upqv2QB9Cf,negative,0.6321980953216553
1386574672913965061,nikkimcasting,2021-04-26 06:55:37+00:00,en,GOOD MORNING !!! #DanielKaluuya #Oscars❤️ https://t.co/ETCVm0pBsR,positive,0.9869316220283508
1386574664525357056,NicolaKohn,2021-04-26 06:55:35+00:00,en,So pleased to see Daniel Kaluuya’s win. A wonderful young man and former pupil of @TorrianoJuniorS who graciously visited the kids at school  (via zoom) earlier this year.,positive,0.9866654276847839
1386481622892093444,FilmUpdates,2021-04-26 00:45:53+00:00,en,Daniel Kaluuya’s mom and sister reacting to his #Oscars acceptance speech https://t.co/McpQbrqlcu,neutral,0.7177773118019104
